TYPE,SKU,DESCRIPTION,REVENUE,COMMISSION
EBU SIMO AIRTIME,116805N,36m Promo14 Unlimited Max Silver,192.5,9.625
EBU SIMO AIRTIME,116805,36m Promo14 Unlimited Max Silver,125.125,6.2562500000000005
EBU SIMO AIRTIME,116806N,36m Promo17 Unlimited Max Silver,210.0,10.5
EBU SIMO AIRTIME,116806,36m Promo17 Unlimited Max Silver,136.5,6.825
EBU SIMO AIRTIME,116807N,36m Promo (low tier)7 Unlimited Max Silver,227.5,11.375
EBU SIMO AIRTIME,116807,36m Promo (low tier)7 Unlimited Max Silver,147.875,7.393750000000001
EBU SIMO AIRTIME,116822N,36m Promo (High tier)5 10GB Retention Plans Gold,195.0,9.75
EBU SIMO AIRTIME,116822,36m Promo (High tier)5 10GB Retention Plans Gold,97.5,4.875
EBU SIMO AIRTIME,116824N,36m Standard1 25GB Red Gold,220.0,11.0
EBU SIMO AIRTIME,116824,36m Standard1 25GB Red Gold,110.0,5.5
EBU SIMO AIRTIME,116825N,36m Promo10 25GB Red Gold,150.0,7.5
